#t x y z vx vy vz
9.08 182.09 -202.75 -23.63 -138.29 41.27 -51.39
9.09 180.68 -202.33 -24.16 -138.87 41.92 -51.31
9.10 179.25 -201.90 -24.68 -139.46 42.59 -51.23
9.11 177.82 -201.46 -25.20 -140.05 43.25 -51.15
9.12 176.39 -201.01 -25.73 -140.65 43.93 -51.06
9.13 174.95 -200.56 -26.25 -141.24 44.61 -50.97
9.14 173.50 -200.10 -26.77 -141.84 45.30 -50.88
9.15 172.05 -199.63 -27.29 -142.44 45.99 -50.79
9.16 170.59 -199.16 -27.81 -143.05 46.69 -50.69
9.17 169.12 -198.68 -28.33 -143.65 47.40 -50.58
9.18 167.65 -198.19 -28.84 -144.26 48.12 -50.48
9.19 166.17 -197.69 -29.36 -144.87 48.85 -50.37
9.20 164.68 -197.19 -29.87 -145.49 49.58 -50.26
9.21 163.19 -196.68 -30.39 -146.10 50.32 -50.15
9.22 161.70 -196.16 -30.90 -146.72 51.07 -50.03
9.23 160.19 -195.63 -31.41 -147.34 51.83 -49.91
9.24 158.68 -195.10 -31.92 -147.97 52.59 -49.78
9.25 157.17 -194.56 -32.43 -148.60 53.37 -49.65
9.26 155.64 -194.01 -32.93 -149.23 54.15 -49.52
9.27 154.11 -193.45 -33.44 -149.86 54.94 -49.38
9.28 152.58 -192.88 -33.94 -150.49 55.74 -49.24
9.29 151.04 -192.31 -34.45 -151.13 56.55 -49.09
9.30 149.49 -191.73 -34.95 -151.77 57.37 -48.94
9.31 147.93 -191.14 -35.45 -152.41 58.19 -48.79
9.32 146.37 -190.54 -35.95 -153.06 59.03 -48.63
9.33 144.80 -189.93 -36.44 -153.71 59.88 -48.47
9.34 143.23 -189.31 -36.94 -154.36 60.74 -48.30
9.35 141.64 -188.69 -37.43 -155.01 61.60 -48.13
9.36 140.05 -188.05 -37.92 -155.67 62.48 -47.95
9.37 138.46 -187.41 -38.41 -156.33 63.37 -47.77
9.38 136.86 -186.76 -38.90 -156.99 64.27 -47.58
9.39 135.25 -186.09 -39.39 -157.65 65.18 -47.39
9.40 133.63 -185.42 -39.87 -158.32 66.10 -47.19
9.41 132.01 -184.74 -40.35 -158.99 67.03 -46.98
9.42 130.38 -184.05 -40.83 -159.66 67.98 -46.77
9.43 128.74 -183.35 -41.31 -160.34 68.93 -46.56
9.44 127.10 -182.64 -41.78 -161.01 69.90 -46.34
9.45 125.45 -181.92 -42.25 -161.69 70.88 -46.11
9.46 123.79 -181.19 -42.73 -162.37 71.87 -45.87
9.47 122.13 -180.45 -43.19 -163.06 72.88 -45.63
9.48 120.46 -179.70 -43.66 -163.74 73.90 -45.38
9.49 118.78 -178.94 -44.12 -164.43 74.93 -45.13
9.50 117.09 -178.17 -44.58 -165.12 75.98 -44.87
9.51 115.40 -177.39 -45.04 -165.82 77.04 -44.60
9.52 113.70 -176.59 -45.49 -166.51 78.11 -44.32
9.53 112.00 -175.79 -45.95 -167.21 79.20 -44.03
9.54 110.28 -174.97 -46.39 -167.91 80.31 -43.74
9.55 108.56 -174.15 -46.84 -168.61 81.43 -43.44
9.56 106.83 -173.31 -47.28 -169.32 82.56 -43.13
9.57 105.10 -172.46 -47.72 -170.02 83.71 -42.81
9.58 103.36 -171.59 -48.16 -170.73 84.88 -42.48
9.59 101.61 -170.72 -48.59 -171.44 86.06 -42.14
9.60 99.85 -169.83 -49.02 -172.15 87.26 -41.80
9.61 98.09 -168.94 -49.45 -172.86 88.48 -41.44
9.62 96.31 -168.02 -49.87 -173.57 89.72 -41.07
9.63 94.54 -167.10 -50.29 -174.28 90.97 -40.69
9.64 92.75 -166.16 -50.70 -175.00 92.24 -40.31
9.65 90.96 -165.21 -51.11 -175.71 93.53 -39.91
9.66 89.15 -164.25 -51.52 -176.43 94.84 -39.49
9.67 87.35 -163.27 -51.92 -177.15 96.17 -39.07
9.68 85.53 -162.28 -52.32 -177.86 97.52 -38.64
9.69 83.71 -161.28 -52.71 -178.58 98.89 -38.19
9.70 81.88 -160.26 -53.10 -179.30 100.28 -37.73
9.71 80.04 -159.23 -53.48 -180.01 101.69 -37.25
9.72 78.20 -158.18 -53.86 -180.73 103.13 -36.76
9.73 76.34 -157.12 -54.23 -181.44 104.59 -36.26
9.74 74.49 -156.04 -54.60 -182.15 106.07 -35.74
9.75 72.62 -154.95 -54.96 -182.87 107.57 -35.20
9.76 70.75 -153.84 -55.32 -183.58 109.10 -34.65
9.77 68.86 -152.72 -55.67 -184.28 110.65 -34.09
9.78 66.98 -151.58 -56.02 -184.99 112.23 -33.50
9.79 65.08 -150.42 -56.36 -185.69 113.83 -32.90
9.80 63.18 -149.25 -56.69 -186.39 115.46 -32.28
9.81 61.27 -148.06 -57.02 -187.08 117.12 -31.64
9.82 59.35 -146.85 -57.34 -187.77 118.80 -30.99
9.83 57.43 -145.63 -57.65 -188.45 120.51 -30.31
9.84 55.50 -144.39 -57.96 -189.13 122.25 -29.61
9.85 53.56 -143.13 -58.26 -189.80 124.03 -28.89
9.86 51.61 -141.85 -58.55 -190.47 125.83 -28.14
9.87 49.66 -140.55 -58.83 -191.12 127.66 -27.37
9.88 47.71 -139.24 -59.11 -191.77 129.52 -26.58
9.89 45.74 -137.91 -59.38 -192.41 131.41 -25.77
9.90 43.77 -136.55 -59.63 -193.04 133.34 -24.92
9.91 41.79 -135.18 -59.88 -193.66 135.30 -24.05
9.92 39.81 -133.78 -60.13 -194.26 137.30 -23.16
9.93 37.82 -132.37 -60.36 -194.85 139.33 -22.23
9.94 35.82 -130.93 -60.58 -195.43 141.39 -21.28
9.95 33.82 -129.48 -60.79 -195.99 143.49 -20.29
9.96 31.81 -128.00 -61.00 -196.54 145.63 -19.27
9.97 29.80 -126.50 -61.19 -197.06 147.81 -18.22
9.98 27.78 -124.98 -61.37 -197.57 150.02 -17.13
9.99 25.76 -123.43 -61.54 -198.06 152.27 -16.01
